date,open,high,low,close,amount_yi,pe
2022-03-18,1497.11,1497.11,1469.6,1489.82,99.41,33.22
2022-03-21,1494.77,1520.77,1489.31,1508.65,90.51,33.72
2022-03-22,1508.01,1511.57,1494.16,1500.73,79.98,33.45
2022-03-23,1508.05,1525.93,1500.61,1518.2,94.09,33.96
2022-03-24,1509.59,1509.6,1488.38,1498.17,76.07,33.62
2022-03-25,1503.59,1507.46,1471.94,1471.94,73.33,33.0
2022-03-28,1458.02,1467.64,1442.44,1452.83,70.98,32.47
2022-03-29,1455.65,1460.6,1425.43,1431.24,70.76,31.95
2022-03-30,1444.34,1482.22,1444.34,1482.04,81.62,33.25
2022-03-31,1480.52,1480.82,1469.24,1472.07,75.1,33.07
2022-04-01,1468.07,1476.86,1455.75,1466.34,71.96,32.9
2022-04-06,1466.5,1466.54,1439.56,1447.02,79.16,32.35
2022-04-07,1441.77,1448.38,1414.27,1414.27,71.02,31.72
2022-04-08,1415.73,1419.25,1389.39,1403.87,66.83,31.61
2022-04-11,1392.94,1393.27,1324.49,1327.92,84.87,29.81
2022-04-12,1329.18,1361.01,1316.78,1361.0,74.35,30.56
2022-04-13,1352.6,1364.33,1334.66,1341.27,76.95,30.08
2022-04-14,1352.66,1365.02,1342.58,1358.55,73.63,30.53
2022-04-15,1346.29,1346.32,1318.88,1334.59,77.86,30.0
2022-04-18,1322.37,1352.62,1300.3,1349.46,75.75,30.39
2022-04-19,1354.73,1369.87,1334.86,1342.04,72.81,30.15
2022-04-20,1344.24,1349.09,1321.62,1325.65,76.36,29.81
2022-04-21,1309.99,1328.57,1274.86,1278.2,93.76,28.86
2022-04-22,1266.76,1274.58,1250.9,1258.5,76.07,28.46
2022-04-25,1238.41,1238.41,1176.2,1176.2,97.33,26.81
2022-04-26,1182.92,1189.55,1142.13,1144.18,88.55,26.3
2022-04-27,1132.15,1220.92,1130.84,1219.32,107.48,28.27
2022-04-28,1215.54,1233.77,1205.78,1219.27,88.73,28.47
2022-04-29,1231.85,1277.21,1223.8,1276.02,99.34,29.84
2022-05-05,1279.69,1291.36,1269.12,1276.49,100.08,29.49
2022-05-06,1244.21,1261.75,1240.75,1253.22,65.62,29.0
2022-05-09,1244.7,1258.74,1240.81,1249.86,52.03,28.88
2022-05-10,1236.52,1278.59,1228.89,1273.96,89.6,29.39
2022-05-11,1278.21,1330.51,1273.7,1306.35,118.59,30.22
2022-05-12,1297.82,1315.8,1295.45,1308.0,78.76,30.25
2022-05-13,1315.22,1318.16,1296.81,1312.38,68.03,30.27
